                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                 1.2992,                 1.0989,                 1.0618,                0.39015,                 0.6723,                0.34148,                0.26693,                0.80805,                  1.051,                0.89148,              0.0010978,              0.0010978,              0.0010978
                    125,                 1.3257,                 1.0686,                 1.0745,                0.41613,                0.69828,                0.37744,                0.28609,                0.83226,                 1.0614,                0.91593,              0.0010965,              0.0010965,              0.0010965
                    126,                 1.3313,                 1.0904,                  1.074,                0.37382,                0.66155,                0.33509,                0.26141,                0.78817,                 1.0688,                 0.9013,              0.0010953,              0.0010953,              0.0010953
                    127,                 1.3208,                 1.0817,                 1.0716,                 0.3941,                0.68432,                 0.3556,                0.27554,                0.78476,                 1.0335,                0.87722,              0.0010941,              0.0010941,              0.0010941
                    128,                 1.3022,                 1.0529,                 1.0574,                0.36129,                0.65399,                0.31862,                0.25068,                0.78829,                 1.0697,                0.89949,              0.0010928,              0.0010928,              0.0010928
                    129,                 1.3219,                 1.0526,                 1.0682,                0.34898,                0.63758,                0.31254,                0.23946,                0.78778,                 1.0619,                 0.8836,              0.0010916,              0.0010916,              0.0010916
                    130,                 1.2898,                 1.0594,                 1.0556,                0.40682,                 0.7095,                0.37128,                0.27804,                 0.8882,                 1.0611,                0.89381,              0.0010904,              0.0010904,              0.0010904
                    131,                  1.296,                 1.0625,                 1.0634,                0.41015,                0.68753,                0.35988,                0.28359,                0.76222,                 1.0322,                0.87928,              0.0010891,              0.0010891,              0.0010891
                    132,                 1.2831,                 1.0601,                 1.0671,                0.41402,                0.69123,                0.36553,                0.27425,                0.80684,                 1.0476,                0.87426,              0.0010879,              0.0010879,              0.0010879
                    133,                 1.3026,                 1.0432,                  1.066,                0.40906,                0.69615,                0.37542,                0.28458,                0.85911,                 1.1024,                 0.8758,              0.0010866,              0.0010866,              0.0010866
